"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"0m1gqgwoaa","mental1","Human","Mental",6,7,3,7,NA,77
"0m1gqgwoaa","mental2","AI","Mental",2,3,1,1,"Romantic",-65
"0m1gqgwoaa","romantic1","Human","Romantic",4,4,3,2,NA,64
"0m1gqgwoaa","romantic2","AI","Romantic",1,4,1,1,NA,-60
"0m1gqgwoaa","trivial1","AI","Trivial",2,2,1,2,NA,-67
"0m1gqgwoaa","trivial2","Human","Trivial",4,2,1,2,"Everyday / Trivial",63
"0x83qspvna","mental1","Human","Mental",3,6,3,6,NA,54
"0x83qspvna","mental2","AI","Mental",5,6,3,6,NA,36
"0x83qspvna","romantic1","Human","Romantic",3,6,2,2,NA,55
"0x83qspvna","romantic2","AI","Romantic",4,3,3,6,"Romantic",-69
"0x83qspvna","trivial1","AI","Trivial",5,3,6,6,"Everyday / Trivial",54
"0x83qspvna","trivial2","Human","Trivial",5,6,4,5,NA,39
"1h91gtbw1s","mental1","Human","Mental",2,1,4,3,NA,-100
"1h91gtbw1s","mental2","AI","Mental",3,1,1,1,NA,-100
"1h91gtbw1s","romantic1","Human","Romantic",1,1,1,1,NA,-37
"1h91gtbw1s","romantic2","AI","Romantic",3,1,2,1,NA,63
"1h91gtbw1s","trivial1","Human","Trivial",1,2,1,1,"I don't remember",-100
"1h91gtbw1s","trivial2","AI","Trivial",3,1,4,6,"Romantic",-100
"1wvldok2w5","mental1","Human","Mental",5,5,6,5,NA,-90
"1wvldok2w5","mental2","AI","Mental",5,2,4,5,NA,-50
"1wvldok2w5","romantic1","Human","Romantic",3,1,3,5,"Mental Health",-60
"1wvldok2w5","romantic2","AI","Romantic",3,4,4,6,NA,-100
"1wvldok2w5","trivial1","Human","Trivial",4,2,2,4,NA,50
"1wvldok2w5","trivial2","AI","Trivial",6,6,4,3,"Everyday / Trivial",-100
"26bkqj9dkh","mental1","Human","Mental",3,1,6,1,NA,-100
"26bkqj9dkh","mental2","AI","Mental",6,7,7,6,NA,-100
"26bkqj9dkh","romantic1","AI","Romantic",1,1,1,1,"I don't remember",-100
"26bkqj9dkh","romantic2","Human","Romantic",1,1,1,1,"Mental Health",-100
"26bkqj9dkh","trivial1","AI","Trivial",3,1,1,1,NA,-100
"26bkqj9dkh","trivial2","Human","Trivial",2,1,1,1,NA,100
"2lj1ao04b0","mental1","AI","Mental",6,6,6,5,"Romantic",-100
"2lj1ao04b0","mental2","Human","Mental",7,7,1,6,NA,-74
"2lj1ao04b0","romantic1","Human","Romantic",5,5,1,1,NA,66
"2lj1ao04b0","romantic2","AI","Romantic",7,5,6,6,"Everyday / Trivial",-82
"2lj1ao04b0","trivial1","Human","Trivial",6,6,7,6,NA,68
"2lj1ao04b0","trivial2","AI","Trivial",2,1,1,1,NA,-100
"2w71obgkeo","mental1","AI","Mental",3,2,2,4,"Mental Health",26
"2w71obgkeo","mental2","Human","Mental",5,5,3,5,NA,-99
"2w71obgkeo","romantic1","Human","Romantic",3,1,1,1,"Everyday / Trivial",71
"2w71obgkeo","romantic2","AI","Romantic",4,6,5,2,NA,75
"2w71obgkeo","trivial1","Human","Trivial",4,2,1,1,NA,-83
"2w71obgkeo","trivial2","AI","Trivial",4,2,3,5,NA,-100
"338eulqbpr","mental1","Human","Mental",4,2,7,4,"Mental Health",29
"338eulqbpr","mental2","AI","Mental",4,3,6,3,NA,57
"338eulqbpr","romantic1","AI","Romantic",5,4,4,3,NA,50
"338eulqbpr","romantic2","Human","Romantic",4,4,7,4,NA,-97
"338eulqbpr","trivial1","AI","Trivial",3,1,3,3,"Romantic",-50
"338eulqbpr","trivial2","Human","Trivial",5,4,5,4,NA,-100
"38ltrh6p8m","mental1","Human","Mental",6,1,7,2,NA,50
"38ltrh6p8m","mental2","AI","Mental",2,1,5,2,"Romantic",-100
"38ltrh6p8m","romantic1","AI","Romantic",2,2,6,2,NA,-52
"38ltrh6p8m","romantic2","Human","Romantic",2,1,4,1,NA,-53
"38ltrh6p8m","trivial1","AI","Trivial",4,2,6,3,"Mental Health",-100
"38ltrh6p8m","trivial2","Human","Trivial",6,1,7,1,NA,-78
"3ztxsbua04","mental1","Human","Mental",5,4,6,5,"Romantic",-39
"3ztxsbua04","mental2","AI","Mental",4,2,4,2,NA,-21
"3ztxsbua04","romantic1","Human","Romantic",4,2,4,3,"Mental Health",47
"3ztxsbua04","romantic2","AI","Romantic",5,4,5,5,NA,-27
"3ztxsbua04","trivial1","Human","Trivial",4,3,5,3,NA,-96
"3ztxsbua04","trivial2","AI","Trivial",5,4,5,4,NA,-97
"4fja841w64","mental1","Human","Mental",5,2,5,4,"Everyday / Trivial",-100
"4fja841w64","mental2","AI","Mental",5,2,5,4,NA,-100
"4fja841w64","romantic1","AI","Romantic",5,3,5,4,NA,-100
"4fja841w64","romantic2","Human","Romantic",5,3,5,4,NA,-100
"4fja841w64","trivial1","Human","Trivial",5,1,6,4,"Mental Health",-60
"4fja841w64","trivial2","AI","Trivial",6,5,5,4,NA,-70
"4gu5z39bau","mental1","AI","Mental",1,2,3,3,"Romantic",-100
"4gu5z39bau","mental2","Human","Mental",3,2,1,1,NA,-100
"4gu5z39bau","romantic1","AI","Romantic",6,3,4,5,"Mental Health",47
"4gu5z39bau","romantic2","Human","Romantic",2,2,1,1,NA,-100
"4gu5z39bau","trivial1","Human","Trivial",4,6,4,4,NA,-100
"4gu5z39bau","trivial2","AI","Trivial",1,1,1,1,NA,64
"4k0dw7z9pf","mental1","AI","Mental",5,6,5,6,NA,-50
"4k0dw7z9pf","mental2","Human","Mental",2,2,2,2,NA,-16
"4k0dw7z9pf","romantic1","Human","Romantic",4,3,4,3,NA,82
"4k0dw7z9pf","romantic2","AI","Romantic",3,4,4,3,"Romantic",-70
"4k0dw7z9pf","trivial1","Human","Trivial",2,4,2,2,"Romantic",-53
"4k0dw7z9pf","trivial2","AI","Trivial",4,4,5,4,NA,-40
"4vjeqd0ob3","mental1","AI","Mental",2,4,1,2,NA,-37
"4vjeqd0ob3","mental2","Human","Mental",3,3,2,2,"Mental Health",14
"4vjeqd0ob3","romantic1","AI","Romantic",5,4,6,2,NA,-78
"4vjeqd0ob3","romantic2","Human","Romantic",3,2,3,4,NA,-17
"4vjeqd0ob3","trivial1","AI","Trivial",4,4,4,2,NA,-61
"4vjeqd0ob3","trivial2","Human","Trivial",4,2,4,2,"Mental Health",31
"4zmumnvuvx","mental1","Human","Mental",6,3,1,5,NA,-50
"4zmumnvuvx","mental2","AI","Mental",5,5,5,5,NA,50
"4zmumnvuvx","romantic1","AI","Romantic",3,3,3,2,"Romantic",-50
"4zmumnvuvx","romantic2","Human","Romantic",6,6,6,6,"Everyday / Trivial",50
"4zmumnvuvx","trivial1","Human","Trivial",5,6,1,5,NA,50
"4zmumnvuvx","trivial2","AI","Trivial",6,6,6,6,NA,80
"5vbllw3sm2","mental1","Human","Mental",5,5,6,5,NA,-100
"5vbllw3sm2","mental2","AI","Mental",6,6,6,6,NA,100
"5vbllw3sm2","romantic1","AI","Romantic",6,7,6,7,NA,100
"5vbllw3sm2","romantic2","Human","Romantic",6,5,5,4,"Everyday / Trivial",-100
"5vbllw3sm2","trivial1","AI","Trivial",5,4,5,4,"Mental Health",-100
"5vbllw3sm2","trivial2","Human","Trivial",3,3,3,2,NA,-100
"7980k9gjv4","mental1","AI","Mental",4,2,5,3,"Everyday / Trivial",-22
"7980k9gjv4","mental2","Human","Mental",4,4,5,4,"Mental Health",30
"7980k9gjv4","romantic1","Human","Romantic",4,3,4,3,NA,-66
"7980k9gjv4","romantic2","AI","Romantic",3,2,5,5,NA,-81
"7980k9gjv4","trivial1","Human","Trivial",4,3,6,5,NA,-46
"7980k9gjv4","trivial2","AI","Trivial",3,2,3,2,NA,-88
"8wfnjezc6w","mental1","Human","Mental",2,1,3,1,NA,-49
"8wfnjezc6w","mental2","AI","Mental",3,2,4,1,NA,-48
"8wfnjezc6w","romantic1","Human","Romantic",3,3,2,3,"Romantic",-61
"8wfnjezc6w","romantic2","AI","Romantic",3,1,2,1,NA,28
"8wfnjezc6w","trivial1","Human","Trivial",3,2,3,2,NA,32
"8wfnjezc6w","trivial2","AI","Trivial",4,2,2,1,"Romantic",34
"9dqlkurwtw","mental1","Human","Mental",4,5,2,2,NA,-39
"9dqlkurwtw","mental2","AI","Mental",3,2,4,4,"Mental Health",-73
"9dqlkurwtw","romantic1","Human","Romantic",1,1,2,2,NA,31
"9dqlkurwtw","romantic2","AI","Romantic",1,1,2,2,"Mental Health",-61
"9dqlkurwtw","trivial1","AI","Trivial",2,2,2,2,NA,-100
